production_id,device_id,manufacturer_id,date_id,units_produced,units_passed_qc,defect_rate,production_status,batch_number
PRD000001,DEV0036,MFG009,20190828,366,212,0.0034,Completed,BATCH7206
PRD000002,DEV0015,MFG005,20200327,4,3,0.0638,On Hold,BATCH2902
PRD000003,DEV0007,MFG001,20210108,169,93,0.1218,In Progress,BATCH6384
PRD000004,DEV0011,MFG005,20210212,500,282,0.1429,On Hold,BATCH9064
PRD000005,DEV0015,MFG006,20200828,101,60,0.0893,On Hold,BATCH8435
PRD000006,DEV0038,MFG001,20191218,199,43,0.079,Failed QC,BATCH1190
PRD000007,DEV0035,MFG009,20210817,159,10,0.0457,In Progress,BATCH4131
PRD000008,DEV0010,MFG009,20200718,264,213,0.1447,Failed QC,BATCH3463
PRD000009,DEV0050,MFG007,20201215,217,33,0.1054,In Progress,BATCH1612
PRD000010,DEV0027,MFG007,20200820,183,140,0.0709,Completed,BATCH4300
PRD000011,DEV0007,MFG007,20200808,115,47,0.0358,On Hold,BATCH4368
PRD000012,DEV0036,MFG009,20191003,23,9,0.1067,Failed QC,BATCH8268
PRD000013,DEV0037,MFG002,20201127,156,64,0.0828,On Hold,BATCH9026
PRD000014,DEV0050,MFG009,20210701,6,6,0.0367,Completed,BATCH1415
PRD000015,DEV0025,MFG003,20200410,59,47,0.058,On Hold,BATCH8337
PRD000016,DEV0048,MFG006,20210419,341,175,0.116,Failed QC,BATCH2186
PRD000017,DEV0043,MFG005,20200212,352,289,0.0597,On Hold,BATCH6292
PRD000018,DEV0021,MFG007,20210620,290,261,0.0753,On Hold,BATCH1953
PRD000019,DEV0008,MFG002,20210115,115,13,0.0459,Completed,BATCH6774
PRD000020,DEV0020,MFG010,20211016,151,98,0.1258,On Hold,BATCH9316
PRD000021,DEV0002,MFG001,20210118,265,140,0.0599,Completed,BATCH8060
PRD000022,DEV0025,MFG001,20200419,216,203,0.0853,On Hold,BATCH8710
PRD000023,DEV0023,MFG002,20210214,178,29,0.0835,On Hold,BATCH2733
PRD000024,DEV0030,MFG005,20200105,386,145,0.0732,Completed,BATCH8469
PRD000025,DEV0025,MFG002,20210504,227,201,0.059,Failed QC,BATCH9225
PRD000026,DEV0045,MFG008,20191222,238,200,0.1351,Completed,BATCH8830
PRD000027,DEV0004,MFG004,20200313,282,211,0.0067,Completed,BATCH3406
PRD000028,DEV0017,MFG003,20191108,206,79,0.0877,Failed QC,BATCH1039
PRD000029,DEV0010,MFG009,20200913,245,197,0.0652,Failed QC,BATCH5248
PRD000030,DEV0005,MFG001,20200607,194,143,0.116,Completed,BATCH5769
PRD000031,DEV0024,MFG002,20200302,346,328,0.0824,On Hold,BATCH8567
PRD000032,DEV0018,MFG006,20210812,377,211,0.027,Failed QC,BATCH6135
PRD000033,DEV0042,MFG006,20201012,425,67,0.1178,In Progress,BATCH3002
PRD000034,DEV0009,MFG001,20200116,335,138,0.0691,Failed QC,BATCH4196
PRD000035,DEV0027,MFG001,20200820,125,102,0.1188,In Progress,BATCH6897
PRD000036,DEV0036,MFG004,20200523,49,48,0.0565,Failed QC,BATCH3526
PRD000037,DEV0023,MFG001,20201108,176,69,0.0532,In Progress,BATCH7386
PRD000038,DEV0018,MFG004,20190924,466,201,0.0783,Failed QC,BATCH4453
PRD000039,DEV0015,MFG002,20210206,269,6,0.1234,In Progress,BATCH2623
PRD000040,DEV0025,MFG001,20191126,41,29,0.1338,On Hold,BATCH4524
PRD000041,DEV0006,MFG003,20200812,197,164,0.079,In Progress,BATCH3375
PRD000042,DEV0031,MFG004,20200229,89,4,0.0753,On Hold,BATCH4152
PRD000043,DEV0027,MFG006,20201124,162,121,0.1493,Completed,BATCH5104
PRD000044,DEV0020,MFG006,20210411,437,252,0.056,In Progress,BATCH8099
PRD000045,DEV0019,MFG006,20211104,285,18,0.017,On Hold,BATCH6961
PRD000046,DEV0011,MFG004,20191004,202,146,0.1309,Failed QC,BATCH5167
PRD000047,DEV0023,MFG004,20201231,289,78,0.1001,Failed QC,BATCH5678
PRD000048,DEV0028,MFG006,20211101,121,34,0.1316,On Hold,BATCH7621
PRD000049,DEV0019,MFG005,20211018,435,80,0.094,On Hold,BATCH3754
PRD000050,DEV0022,MFG007,20210615,407,374,0.1267,Failed QC,BATCH7323
PRD000051,DEV0007,MFG005,20200706,165,154,0.0744,Failed QC,BATCH8197
PRD000052,DEV0050,MFG006,20190820,202,112,0.1359,On Hold,BATCH4807
PRD000053,DEV0027,MFG002,20191014,33,15,0.0235,Failed QC,BATCH6111
PRD000054,DEV0026,MFG010,20191221,200,165,0.1399,On Hold,BATCH4146
PRD000055,DEV0022,MFG009,20201129,24,18,0.1336,In Progress,BATCH8417
